Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
19/08/17,Asteras Tripolis,Giannina,1,2,0,0,1.81,5.5,-0.5,1.81,2.2
19/08/17,Olympiakos,Larisa,4,1,0,0,1.17,17.5,-2,1.9,1.91
19/08/17,Xanthi,Lamia,0,0,0,0,1.67,7.81,-0.75,1.9,2.07
20/08/17,AEK,Panetolikos,2,0,1,1,1.36,13.94,-1.25,1.8,2.17
20/08/17,Kerkyra,Panionios,0,1,0,0,4.1,2.33,0.25,2.11,1.97
20/08/17,Levadeiakos,PAOK,0,0,0,0,8.05,1.53,1,2.01,1.96
20/08/17,Platanias,Panathinaikos,1,1,0,0,4.63,2.05,0.5,1.9,2.07
21/08/17,Atromitos,Apollon,1,1,0,0,1.81,5.57,-0.5,1.81,2.19
26/08/17,Lamia,Olympiakos,0,1,0,1,19,1.2,2,1.8,2.2
26/08/17,Panetolikos,Atromitos,2,2,0,0,2.52,3.27,-0.25,2.12,1.83
26/08/17,Platanias,Xanthi,0,2,0,0,2.46,3.6,-0.25,2.06,1.88
27/08/17,Giannina,AEK,0,0,0,0,4.23,2.04,0.5,1.92,2.04
27/08/17,Panathinaikos,Levadeiakos,0,0,1,0,1.2,25.7,-2,2.07,1.86
27/08/17,Panionios,Apollon,2,0,0,0,1.73,7.39,-0.75,1.9,2.04
27/08/17,PAOK,Kerkyra,3,1,0,0,1.1,34,-2.25,1.63,2.49
28/08/17,Larisa,Asteras Tripolis,1,1,0,0,2.93,2.83,0,2,1.95
09/09/17,Asteras Tripolis,Lamia,1,3,0,0,1.64,8.5,-0.75,1.82,2.16
09/09/17,Atromitos,Giannina,0,0,0,0,2.14,4.3,-0.25,1.81,2.17
09/09/17,Xanthi,Olympiakos,1,1,0,0,9.22,1.47,1.25,1.83,2.19
10/09/17,AEK,Larisa,4,0,0,1,1.25,17,-1.75,1.93,2.01
10/09/17,Kerkyra,Panathinaikos,1,0,0,0,7.41,1.63,0.75,2.23,1.83
