Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
13/08/05,Aston Villa,Bolton,2,2,0,0,2.4,3.4,-0.25,2.1,1.92
13/08/05,Everton,Man United,0,2,0,0,5.65,1.8,0.75,2.05,1.93
13/08/05,Fulham,Birmingham,0,0,0,0,2.6,3.05,0,1.85,2.11
13/08/05,Man City,West Brom,0,0,0,0,1.8,5.6,-0.75,2.19,1.83
13/08/05,Middlesbrough,Liverpool,0,0,1,0,3.3,2.5,0.25,1.89,2.04
13/08/05,Portsmouth,Tottenham,0,2,0,0,3.25,2.5,0.25,1.95,2.03
13/08/05,Sunderland,Charlton,1,3,0,1,2.6,3.05,-0.25,2.07,1.86
13/08/05,West Ham,Blackburn,3,1,0,1,2.6,2.9,0,1.86,2.08
14/08/05,Arsenal,Newcastle,2,0,0,1,1.5,8.73,-1.25,2.08,1.89
14/08/05,Wigan,Chelsea,0,1,0,0,12.5,1.4,1.5,2,2
20/08/05,Birmingham,Man City,1,2,0,0,2.25,3.8,-0.25,1.9,2.05
20/08/05,Blackburn,Fulham,2,1,0,0,2.1,4.4,-0.5,2.12,1.84
20/08/05,Charlton,Wigan,1,0,0,0,1.83,5.3,-0.5,1.86,2.1
20/08/05,Liverpool,Sunderland,1,0,0,1,1.33,16,-1.5,1.95,2.01
20/08/05,Man United,Aston Villa,1,0,0,0,1.3,16,-1.5,1.95,2
20/08/05,Newcastle,West Ham,0,0,0,1,1.7,6.5,-0.75,1.99,2.01
20/08/05,Tottenham,Middlesbrough,2,0,0,0,2,4.5,-0.5,1.94,2.01
20/08/05,West Brom,Portsmouth,2,1,0,0,2.2,3.6,-0.25,1.85,2.12
21/08/05,Bolton,Everton,0,1,0,0,2.2,3.7,-0.25,1.86,2.08
21/08/05,Chelsea,Arsenal,1,0,0,0,2.15,4.4,-0.5,2.1,1.87
23/08/05,Birmingham,Middlesbrough,0,3,0,0,2.5,3.15,0,1.8,2.19
23/08/05,Portsmouth,Aston Villa,1,1,0,1,2.6,2.9,0,1.91,2.05
23/08/05,Sunderland,Man City,1,2,0,0,3.1,2.7,0,2.14,1.89
24/08/05,Arsenal,Fulham,4,1,0,0,1.26,17,-1.5,1.84,2.12
24/08/05,Blackburn,Tottenham,0,0,1,0,2.93,2.75,0,2.1,1.91
24/08/05,Bolton,Newcastle,2,0,0,0,2.35,3.55,-0.25,1.95,2.02
24/08/05,Chelsea,West Brom,4,0,0,0,1.2,25,-1.75,1.95,2.05
27/08/05,Aston Villa,Blackburn,1,0,0,0,2.1,4.5,-0.5,2.09,1.88
27/08/05,Fulham,Everton,1,0,0,1,2.7,3,0,1.85,2.15
27/08/05,Man City,Portsmouth,2,1,0,0,1.7,6.3,-0.75,1.88,2.08
27/08/05,Tottenham,Chelsea,0,2,1,0,5.2,1.85,0.5,2.15,1.85
27/08/05,West Brom,Birmingham,2,3,0,0,2.5,3.2,0,1.85,2.2
27/08/05,West Ham,Bolton,1,2,0,0,2.85,2.85,0,2,2
27/08/05,Wigan,Sunderland,1,0,0,0,2.3,3.75,-0.25,1.94,2.03
28/08/05,Middlesbrough,Charlton,0,3,0,0,2,4.5,-0.5,2.02,1.95
28/08/05,Newcastle,Man United,0,2,0,0,6.71,1.8,0.75,2.1,1.86
10/09/05,Birmingham,Charlton,0,1,0,0,2.6,3.2,-0.25,2.15,1.85
10/09/05,Chelsea,Sunderland,2,0,0,0,1.17,28,-2,2.09,1.9
10/09/05,Everton,Portsmouth,0,1,0,0,1.72,6,-0.75,1.96,1.99
10/09/05,Man United,Man City,1,1,0,0,1.45,9.8,-1.25,2.11,1.86
10/09/05,Middlesbrough,Arsenal,2,1,0,0,5.55,1.83,0.75,1.9,2.13
10/09/05,Newcastle,Fulham,1,1,1,0,1.7,6.7,-0.75,1.82,2.19
10/09/05,Tottenham,Liverpool,0,0,0,0,2.7,2.9,0,1.89,2.16
10/09/05,West Brom,Wigan,1,2,0,0,2.2,3.9,-0.5,2.22,1.83
11/09/05,Bolton,Blackburn,0,0,0,0,2,4.55,-0.5,2.05,1.94
12/09/05,West Ham,Aston Villa,4,0,0,0,2.65,2.85,0,1.92,2.04
17/09/05,Aston Villa,Tottenham,1,1,0,0,2.9,2.85,0,2,1.97
17/09/05,Charlton,Chelsea,0,2,0,0,7.5,1.61,1,1.85,2.15
17/09/05,Fulham,West Ham,1,2,0,0,2.25,3.75,-0.25,1.95,2.02
17/09/05,Portsmouth,Birmingham,1,1,0,1,2.45,3.25,-0.25,2.1,1.91
17/09/05,Sunderland,West Brom,1,1,0,0,2.45,3.3,-0.25,2.08,1.91
18/09/05,Blackburn,Newcastle,0,3,0,1,2.5,3.1,0,1.8,2.17
18/09/05,Liverpool,Man United,0,0,0,0,2.9,2.75,0,2.03,1.92
18/09/05,Man City,Bolton,0,1,0,0,2.2,3.85,-0.25,1.84,2.15
18/09/05,Wigan,Middlesbrough,1,1,0,0,2.9,2.63,0,2.12,1.86
19/09/05,Arsenal,Everton,2,0,0,0,1.4,12,-1.25,1.96,1.99
24/09/05,Birmingham,Liverpool,2,2,1,0,4.02,2.2,0.25,2.11,1.86
24/09/05,Bolton,Portsmouth,1,0,0,0,1.8,5.75,-0.75,2.03,1.96
24/09/05,Chelsea,Aston Villa,2,1,0,0,1.27,19,-1.5,1.93,2.06
24/09/05,Everton,Wigan,0,1,0,0,1.93,4.6,-0.5,1.98,2.01
24/09/05,Man United,Blackburn,1,2,0,0,1.33,14,-1.5,2.07,1.92
24/09/05,Newcastle,Man City,1,0,0,0,2.15,4,-0.25,1.91,2.07
24/09/05,West Brom,Charlton,1,2,0,0,3.1,2.6,0,2.16,1.85
24/09/05,West Ham,Arsenal,0,0,0,0,5.5,1.8,0.75,1.85,2.14
25/09/05,Middlesbrough,Sunderland,0,2,0,0,1.62,7.5,-1,2.16,1.85
26/09/05,Tottenham,Fulham,1,0,0,0,1.65,6.85,-0.75,1.91,2.08
01/10/05,Blackburn,West Brom,2,0,0,0,1.87,5,-0.5,1.9,2.1
01/10/05,Charlton,Tottenham,2,3,0,0,2.6,3,0,1.87,2.2
01/10/05,Fulham,Man United,2,3,0,0,6.1,1.71,0.75,2,1.96
01/10/05,Portsmouth,Newcastle,0,0,0,0,3.25,2.5,0,2.25,1.78
01/10/05,Sunderland,West Ham,1,1,0,0,2.68,2.88,0,1.86,2.1
02/10/05,Arsenal,Birmingham,1,0,0,1,1.36,11,-1.25,1.87,2.1
02/10/05,Aston Villa,Middlesbrough,2,3,0,0,2.25,3.65,-0.25,1.89,2.07
02/10/05,Liverpool,Chelsea,1,4,0,0,3.7,2.33,0.25,1.9,2.05
02/10/05,Man City,Everton,2,0,0,0,1.91,5,-0.5,2,2.01
02/10/05,Wigan,Bolton,2,1,0,0,2.9,2.75,0,1.98,1.97
15/10/05,Chelsea,Bolton,5,1,0,1,1.31,13.5,-1.5,2.22,1.84
15/10/05,Liverpool,Blackburn,1,0,0,1,1.72,6.6,-0.75,1.99,1.96
15/10/05,Middlesbrough,Portsmouth,1,1,0,0,1.75,5.7,-0.75,2.08,1.89
15/10/05,Sunderland,Man United,1,3,0,0,9,1.55,1,2,1.97
15/10/05,Tottenham,Everton,2,0,0,0,1.65,6.5,-0.75,1.99,2
15/10/05,West Brom,Arsenal,2,1,0,0,6.5,1.66,0.75,2.07,1.9
15/10/05,Wigan,Newcastle,1,0,1,0,2.9,2.75,0,2,2.06
16/10/05,Birmingham,Aston Villa,0,1,0,0,2.5,3.25,-0.25,2.12,1.85
16/10/05,Man City,West Ham,2,1,0,0,2.03,4.4,-0.5,2.06,1.91
17/10/05,Charlton,Fulham,1,1,0,0,1.91,5.4,-0.5,1.92,2.1
22/10/05,Arsenal,Man City,1,0,0,0,1.55,8.5,-1,1.95,2.08
22/10/05,Aston Villa,Wigan,0,2,0,0,2.1,4.25,-0.5,2.08,1.95
22/10/05,Blackburn,Birmingham,2,0,0,0,2.2,3.9,-0.25,1.86,2.14
22/10/05,Fulham,Liverpool,2,0,0,0,4,2.2,0.25,2.1,1.86
22/10/05,Man United,Tottenham,1,1,0,0,1.66,7.2,-1,2.25,1.82
22/10/05,Portsmouth,Charlton,1,2,0,0,2.92,2.7,0,2,1.98
23/10/05,Bolton,West Brom,2,0,0,0,1.9,5.5,-0.5,1.9,2.13
23/10/05,Everton,Chelsea,1,1,0,0,10.5,1.41,1.25,1.86,2.13
23/10/05,Newcastle,Sunderland,3,2,0,0,1.72,6.6,-0.75,2.09,1.96
23/10/05,West Ham,Middlesbrough,2,1,0,0,2.49,3.05,0,1.81,2.18
29/10/05,Birmingham,Everton,0,1,0,0,2.41,3.35,-0.25,2.08,1.88
29/10/05,Charlton,Bolton,0,1,0,0,2.28,3.6,-0.25,2.04,1.98
29/10/05,Chelsea,Blackburn,4,2,0,0,1.27,15,-1.5,2.03,1.94
29/10/05,Liverpool,West Ham,2,0,0,0,1.67,7,-0.75,1.85,2.19
29/10/05,Middlesbrough,Man United,4,1,0,0,5,1.87,0.5,2.1,1.89
29/10/05,Sunderland,Portsmouth,1,4,0,0,2.4,3.4,-0.25,2.08,1.91
29/10/05,Tottenham,Arsenal,1,1,0,0,2.95,2.8,0,2.08,1.96
29/10/05,Wigan,Fulham,1,0,0,0,2.32,3.75,-0.25,2.04,1.92
30/10/05,West Brom,Newcastle,0,3,0,0,3.11,2.5,0,2.21,1.8
31/10/05,Man City,Aston Villa,3,1,0,0,1.91,4.75,-0.5,1.93,2.03
05/11/05,Arsenal,Sunderland,3,1,0,0,1.25,17,-1.75,1.97,1.99
05/11/05,Aston Villa,Liverpool,0,2,0,0,3.6,2.3,0.25,2.06,1.92
05/11/05,Blackburn,Charlton,4,1,0,0,2.45,3.45,-0.25,2.05,1.98
05/11/05,Fulham,Man City,2,1,0,0,2.65,2.9,0,1.95,2.03
05/11/05,Newcastle,Birmingham,1,0,0,0,1.62,7,-0.75,1.84,2.18
05/11/05,Portsmouth,Wigan,0,2,0,0,2.49,3.27,-0.25,2.07,1.97
05/11/05,West Ham,West Brom,1,0,0,0,1.9,4.5,-0.5,1.89,2.05
06/11/05,Everton,Middlesbrough,1,0,0,0,2.55,3.1,-0.25,2.14,1.84
06/11/05,Man United,Chelsea,1,0,0,0,3.5,2.35,0.25,1.93,2.06
07/11/05,Bolton,Tottenham,1,0,0,0,2.55,2.95,0,1.85,2.12
19/11/05,Charlton,Man United,1,3,0,0,4.6,2,0.5,1.96,2.01
19/11/05,Chelsea,Newcastle,3,0,0,0,1.39,11,-1.25,2.03,1.94
19/11/05,Liverpool,Portsmouth,3,0,0,0,1.45,9.5,-1.25,2.06,1.96
19/11/05,Man City,Blackburn,0,0,0,0,2.1,4.15,-0.5,2.17,1.85
19/11/05,Sunderland,Aston Villa,1,3,0,0,2.8,2.8,0,2,1.95
19/11/05,West Brom,Everton,4,0,0,0,2.75,2.87,0,1.94,2.06
19/11/05,Wigan,Arsenal,2,3,0,0,5.2,1.9,0.5,2.13,1.85
20/11/05,Middlesbrough,Fulham,3,2,0,0,1.9,4.8,-0.5,1.88,2.07
20/11/05,Tottenham,West Ham,1,1,0,0,1.77,6,-0.75,2,1.98
26/11/05,Arsenal,Blackburn,3,0,0,0,1.38,12,-1.25,1.99,2
26/11/05,Aston Villa,Charlton,1,0,0,0,2.35,3.5,-0.25,1.98,2
26/11/05,Man City,Liverpool,0,1,0,0,2.97,2.55,0.25,1.79,2.21
26/11/05,Portsmouth,Chelsea,0,2,0,0,12,1.38,1.25,2.18,1.81
26/11/05,Sunderland,Birmingham,0,1,0,0,2.7,2.9,0,1.98,2
26/11/05,Wigan,Tottenham,1,2,0,0,2.8,2.85,0,1.98,1.99
27/11/05,Everton,Newcastle,1,0,0,0,2.65,2.9,0,1.92,2.04
27/11/05,Fulham,Bolton,2,1,0,0,2.6,2.93,0,1.84,2.13
27/11/05,Middlesbrough,West Brom,2,2,0,0,1.77,5.5,-0.75,2,1.95
27/11/05,West Ham,Man United,1,2,0,0,5.2,1.8,0.5,2.2,1.81
30/11/05,Sunderland,Liverpool,0,2,0,1,8.2,1.57,1,2,1.99
03/12/05,Blackburn,Everton,0,2,1,0,2.1,4.1,-0.5,2.02,1.95
03/12/05,Bolton,Arsenal,2,0,0,0,5,1.92,0.5,2.1,1.89
03/12/05,Chelsea,Middlesbrough,1,0,0,0,1.29,15,-1.5,1.95,2.04
03/12/05,Liverpool,Wigan,3,0,0,0,1.57,8.2,-1,2,2.01
03/12/05,Man United,Portsmouth,3,0,0,0,1.27,17.6,-1.5,1.89,2.1
03/12/05,Newcastle,Aston Villa,1,1,0,0,1.95,5,-0.5,2.04,2.05
03/12/05,Tottenham,Sunderland,3,2,0,0,1.38,12.38,-1.5,2.1,1.9
03/12/05,West Brom,Fulham,0,0,0,1,2.5,3.1,0,1.9,2.1
04/12/05,Charlton,Man City,2,5,0,0,2.5,3.1,-0.25,2.2,1.8
05/12/05,Birmingham,West Ham,1,2,0,0,2.4,3.45,-0.25,2.02,1.97
10/12/05,Birmingham,Fulham,1,0,0,0,2.35,3.25,-0.25,2.05,1.93
10/12/05,Blackburn,West Ham,3,2,0,0,2.15,4.1,-0.5,2.11,1.87
10/12/05,Bolton,Aston Villa,1,1,0,0,1.9,5,-0.5,1.88,2.08
10/12/05,Charlton,Sunderland,2,0,0,0,1.7,6.35,-0.75,1.94,2.02
10/12/05,Chelsea,Wigan,1,0,0,0,1.22,18.5,-1.5,1.77,2.22
10/12/05,Liverpool,Middlesbrough,2,0,0,1,1.6,7.5,-1,2.13,1.93
10/12/05,Newcastle,Arsenal,1,0,0,1,4.5,2,0.5,2.05,1.95
10/12/05,West Brom,Man City,2,0,0,1,3.28,2.5,0.25,1.96,2
11/12/05,Man United,Everton,1,1,0,0,1.35,12,-1.5,2.13,1.87
12/12/05,Tottenham,Portsmouth,3,1,0,0,1.47,9.4,-1.25,2.17,1.85
14/12/05,Everton,West Ham,1,2,0,0,2.14,3.9,-0.5,2.18,1.83
14/12/05,Man United,Wigan,4,0,0,0,1.39,11,-1.5,2.23,1.8
17/12/05,Aston Villa,Man United,0,2,0,0,7.1,1.75,0.75,2.16,1.85
17/12/05,Everton,Bolton,0,4,0,0,2.55,3.1,0,1.81,2.17
17/12/05,Fulham,Blackburn,2,1,0,0,2.3,3.42,-0.25,1.98,1.95
17/12/05,Man City,Birmingham,4,1,0,1,1.92,5,-0.5,1.95,2
17/12/05,Portsmouth,West Brom,1,0,0,0,2.25,3.8,-0.25,1.85,2.12
17/12/05,West Ham,Newcastle,2,4,0,0,2.62,3.06,0,1.87,2.11
