Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
28/07/17,Antwerp,Anderlecht,0,0,0,0,6.11,1.7,1,1.87,2.1
29/07/17,Charleroi,Kortrijk,1,0,0,0,1.67,5.62,-0.75,1.9,2.05
29/07/17,Eupen,Waregem,0,5,0,0,2.83,2.6,0,2.07,1.91
29/07/17,Genk,Waasland-Beveren,3,3,0,0,1.44,8.96,-1.25,1.91,2.04
29/07/17,Lokeren,Club Brugge,0,4,0,1,4.33,1.93,0.5,2.06,1.89
30/07/17,Mechelen,Standard,1,1,0,0,2.78,2.68,0,2,1.94
30/07/17,Oostende,Mouscron,0,1,1,0,1.57,6.25,-1,1.96,1.99
30/07/17,St Truiden,Gent,3,2,0,0,3.32,2.35,0.25,1.91,2.05
04/08/17,Standard,Genk,2,1,0,0,2.4,3.32,-0.25,2.03,1.98
05/08/17,Kortrijk,Lokeren,1,0,0,0,2.23,3.5,-0.25,1.9,2.03
05/08/17,Mouscron,Charleroi,2,5,1,0,3.37,2.35,0.25,1.92,2.04
05/08/17,Waasland-Beveren,Mechelen,2,2,0,0,2.7,2.8,0,1.93,2.04
05/08/17,Waregem,St Truiden,2,0,0,1,1.92,4.4,-0.5,1.93,2.05
06/08/17,Anderlecht,Oostende,1,0,0,0,1.44,8.5,-1.25,1.92,2.01
06/08/17,Club Brugge,Eupen,3,1,0,1,1.26,13,-1.75,1.92,2.03
06/08/17,Gent,Antwerp,0,1,0,0,1.51,7.5,-1,1.89,2.07
11/08/17,Waregem,Club Brugge,1,2,0,0,3.3,2.28,0.25,2.05,2
12/08/17,Eupen,Kortrijk,1,2,0,0,2.28,3.3,-0.25,1.99,1.96
12/08/17,Lokeren,Mouscron,0,2,1,0,1.88,4.63,-0.5,1.87,2.07
12/08/17,Mechelen,Gent,1,1,0,0,3.2,2.5,0.25,1.89,2.04
12/08/17,Oostende,Waasland-Beveren,0,3,0,0,1.75,5,-0.75,1.92,2.02
13/08/17,Antwerp,Genk,3,5,0,0,3.58,2.2,0.25,2.02,1.92
13/08/17,Charleroi,Anderlecht,2,0,0,0,4.33,1.95,0.5,1.98,1.95
13/08/17,St Truiden,Standard,1,0,0,2,3.67,2.19,0.25,2.05,1.88
18/08/17,Standard,Waregem,0,4,0,0,1.75,5.4,-0.75,1.97,2
19/08/17,Eupen,Oostende,2,1,0,0,3.12,2.38,0.25,1.9,2.06
19/08/17,Genk,Charleroi,0,1,0,0,1.93,4.53,-0.5,1.94,1.99
19/08/17,Mechelen,Antwerp,1,2,0,0,2.1,3.95,-0.5,2.03,1.92
19/08/17,Waasland-Beveren,Lokeren,2,3,0,0,2.01,4.15,-0.5,2.02,1.93
20/08/17,Anderlecht,St Truiden,2,3,0,0,1.31,11.24,-1.5,1.95,2
20/08/17,Kortrijk,Club Brugge,1,2,0,0,4.5,1.88,0.75,1.87,2.15
20/08/17,Mouscron,Gent,3,2,0,1,4.41,1.91,0.5,2.08,1.88
25/08/17,Kortrijk,Mouscron,1,1,0,0,2,4.27,-0.5,1.96,1.98
26/08/17,Charleroi,Waregem,3,2,0,1,2.19,3.66,-0.25,1.9,2.07
26/08/17,Genk,Mechelen,1,0,1,0,1.62,6,-1,2.08,1.88
26/08/17,Lokeren,Eupen,3,0,0,0,2.27,3.44,-0.25,1.94,2
26/08/17,St Truiden,Waasland-Beveren,1,0,0,0,1.8,5,-0.5,1.82,2.16
27/08/17,Club Brugge,Standard,4,0,0,0,1.81,5.25,-0.75,2.04,1.92
27/08/17,Gent,Anderlecht,0,0,0,0,2.78,2.7,0,2.05,1.92
27/08/17,Oostende,Antwerp,3,4,0,0,1.86,4.81,-0.75,2.06,1.88
08/09/17,Anderlecht,Lokeren,3,2,0,0,1.32,11.5,-1.75,2.11,1.85
09/09/17,Antwerp,St Truiden,1,1,0,0,2.4,3.2,-0.25,2.08,1.88
09/09/17,Mouscron,Club Brugge,2,1,0,0,6.72,1.6,1,1.89,2.08
09/09/17,Waasland-Beveren,Eupen,5,1,0,0,2.2,3.7,-0.25,1.89,2.06
09/09/17,Waregem,Kortrijk,2,2,0,0,1.7,5.75,-0.75,1.86,2.1
10/09/17,Gent,Genk,1,1,0,0,2.07,4.06,-0.5,2.08,1.9
10/09/17,Mechelen,Oostende,1,1,1,0,2.5,2.9,0,1.81,2.14
10/09/17,Standard,Charleroi,0,0,0,0,1.96,4.49,-0.5,2.02,2.01
15/09/17,Club Brugge,Mechelen,2,0,0,0,1.4,9,-1.25,1.89,2.05
16/09/17,Charleroi,Waasland-Beveren,2,2,0,0,1.65,5.75,-0.75,1.86,2.08
16/09/17,Kortrijk,Anderlecht,2,2,0,0,5.1,1.76,0.75,1.93,2
16/09/17,Lokeren,Antwerp,1,1,0,0,2.28,3.4,-0.25,2,1.96
16/09/17,St Truiden,Genk,2,1,0,0,3.3,2.33,0.25,1.94,2.01
17/09/17,Eupen,Standard,1,1,0,0,3.41,2.2,0.25,2.02,1.93
17/09/17,Oostende,Gent,0,2,0,0,2.81,2.65,0,2.06,1.9
17/09/17,Waregem,Mouscron,2,1,0,1,1.61,6,-1,2.06,1.88
22/09/17,Antwerp,Kortrijk,3,0,0,0,2.05,4.51,-0.5,1.87,2.07
23/09/17,Genk,Oostende,1,1,0,0,1.66,5.75,-1,2.13,1.83
23/09/17,Mechelen,St Truiden,2,0,1,0,2.2,4,-0.5,2.06,1.9
23/09/17,Mouscron,Eupen,3,2,1,0,2.05,4,-0.5,2.04,1.91
23/09/17,Waasland-Beveren,Anderlecht,1,2,0,0,5,1.77,0.75,1.95,2.02
