Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
27/08/05,Fiorentina,Sampdoria,2,1,0,0,2.35,3.7,-0.25,2,1.96
27/08/05,Livorno,Lecce,2,1,0,0,2,4.5,-0.5,2,1.95
28/08/05,Ascoli,Milan,1,1,0,0,12,1.4,1.25,2.1,1.86
28/08/05,Inter,Treviso,3,0,0,0,1.2,18,-1.75,1.95,2.01
28/08/05,Juventus,Chievo,1,0,0,0,1.25,16,-1.5,1.9,2.07
28/08/05,Lazio,Messina,1,0,0,0,2,5,-0.5,2.01,1.92
28/08/05,Parma,Palermo,1,1,0,0,2.7,3.1,0,1.85,2.12
28/08/05,Reggina,Roma,0,3,1,0,4.4,2.05,0.5,1.89,2.1
28/08/05,Siena,Cagliari,2,1,1,0,2.3,3.85,-0.25,1.95,2
28/08/05,Udinese,Empoli,1,0,0,0,1.65,7.5,-0.75,1.8,2.2
10/09/05,Milan,Siena,3,1,0,0,1.23,18,-1.75,2.09,1.88
10/09/05,Palermo,Inter,3,2,0,0,4.6,2.1,0.5,1.9,2.07
11/09/05,Cagliari,Lazio,1,1,1,0,2.38,3.85,-0.25,2.03,1.93
11/09/05,Chievo,Parma,1,0,0,0,2.35,3.8,-0.25,1.98,1.95
11/09/05,Empoli,Juventus,0,4,0,0,9,1.55,1,2.06,1.9
11/09/05,Lecce,Ascoli,0,0,0,1,1.8,6.85,-0.75,2,1.96
11/09/05,Messina,Fiorentina,2,2,0,0,2.85,3,0,1.96,2
11/09/05,Roma,Udinese,0,1,0,0,1.92,5.1,-0.5,1.91,2.05
11/09/05,Sampdoria,Reggina,3,2,0,1,1.55,8.5,-1,2,1.95
11/09/05,Treviso,Livorno,0,1,0,0,2.7,3.25,0,1.85,2.12
17/09/05,Inter,Lecce,3,0,0,0,1.25,16,-1.5,1.88,2.09
17/09/05,Parma,Empoli,1,0,0,0,1.85,5.7,-0.5,1.83,2.15
18/09/05,Cagliari,Messina,1,1,0,0,2.25,4.2,-0.25,1.86,2.09
18/09/05,Fiorentina,Udinese,4,2,0,0,2.3,3.95,-0.25,1.96,1.97
18/09/05,Juventus,Ascoli,2,1,0,0,1.17,23,-2,2.15,1.79
18/09/05,Lazio,Treviso,3,1,0,1,1.65,7.5,-0.75,1.83,2.18
18/09/05,Livorno,Roma,0,0,0,0,3.88,2.35,0.25,2.14,1.9
18/09/05,Reggina,Chievo,1,3,0,1,2.45,3.55,-0.25,2.11,1.87
