Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbAvH,BbAvA
27/08/05,Fiorentina,Sampdoria,2,1,0,0,2.21,3.32
27/08/05,Livorno,Lecce,2,1,0,0,1.92,3.95
28/08/05,Ascoli,Milan,1,1,0,0,8.97,1.34
28/08/05,Inter,Treviso,3,0,0,0,1.17,14.23
28/08/05,Juventus,Chievo,1,0,0,0,1.21,12.18
28/08/05,Lazio,Messina,1,0,0,0,1.89,4.05
28/08/05,Parma,Palermo,1,1,0,0,2.45,2.91
28/08/05,Reggina,Roma,0,3,1,0,3.76,1.97
28/08/05,Siena,Cagliari,2,1,1,0,2.18,3.35
28/08/05,Udinese,Empoli,1,0,0,0,1.55,6.16
10/09/05,Milan,Siena,3,1,0,0,1.19,13.07
10/09/05,Palermo,Inter,3,2,0,0,3.76,1.95
11/09/05,Cagliari,Lazio,1,1,1,0,2.22,3.24
11/09/05,Chievo,Parma,1,0,0,0,2.22,3.3
11/09/05,Empoli,Juventus,0,4,0,0,6.86,1.46
11/09/05,Lecce,Ascoli,0,0,0,1,1.71,4.99
11/09/05,Messina,Fiorentina,2,2,0,0,2.58,2.72
11/09/05,Roma,Udinese,0,1,0,0,1.82,4.22
11/09/05,Sampdoria,Reggina,3,2,0,1,1.49,6.84
11/09/05,Treviso,Livorno,0,1,0,0,2.49,2.85
17/09/05,Inter,Lecce,3,0,0,0,1.21,11.51
17/09/05,Parma,Empoli,1,0,0,0,1.74,4.66
18/09/05,Cagliari,Messina,1,1,0,0,2.12,3.52
18/09/05,Fiorentina,Udinese,4,2,0,0,2.21,3.28
18/09/05,Juventus,Ascoli,2,1,0,0,1.14,15.35
18/09/05,Lazio,Treviso,3,1,0,1,1.57,6.14
18/09/05,Livorno,Roma,0,0,0,0,3.16,2.21
18/09/05,Reggina,Chievo,1,3,0,1,2.3,3.18
18/09/05,Sampdoria,Milan,2,1,0,0,4.2,1.84
18/09/05,Siena,Palermo,1,2,0,0,2.72,2.59
21/09/05,Ascoli,Siena,1,1,0,0,2.37,3.01
21/09/05,Chievo,Inter,0,1,0,0,4.89,1.71
21/09/05,Empoli,Cagliari,3,1,0,0,2.32,3.09
21/09/05,Lecce,Fiorentina,1,3,1,0,3.41,2.09
21/09/05,Messina,Livorno,0,0,0,0,2.16,3.41
21/09/05,Milan,Lazio,2,0,0,0,1.36,8.37
21/09/05,Palermo,Reggina,1,0,0,0,1.43,7.58
21/09/05,Roma,Parma,4,1,0,0,1.54,5.99
21/09/05,Treviso,Sampdoria,0,2,0,0,3.61,2.02
21/09/05,Udinese,Juventus,0,1,0,0,3.74,1.97
24/09/05,Parma,Juventus,1,2,0,0,5.69,1.6
24/09/05,Reggina,Udinese,2,0,0,1,3.32,2.15
25/09/05,Cagliari,Roma,0,0,0,0,3.45,2.05
25/09/05,Empoli,Lecce,1,0,0,0,2.01,3.64
25/09/05,Inter,Fiorentina,1,0,0,0,1.57,5.78
25/09/05,Lazio,Palermo,4,2,0,0,2.4,2.9
25/09/05,Livorno,Ascoli,2,0,0,1,1.67,5.4
25/09/05,Sampdoria,Chievo,1,2,0,0,1.62,5.66
25/09/05,Siena,Messina,4,2,0,0,2.15,3.42
25/09/05,Treviso,Milan,0,2,0,0,8.81,1.34
01/10/05,Chievo,Treviso,0,0,0,0,1.55,6.53
01/10/05,Udinese,Lazio,3,0,0,0,1.91,3.98
02/10/05,Ascoli,Parma,3,1,0,1,2.49,2.82
02/10/05,Fiorentina,Livorno,3,2,0,1,1.65,5.29
02/10/05,Juventus,Inter,2,0,0,0,2.09,3.53
02/10/05,Lecce,Cagliari,3,0,0,0,2.14,3.42
02/10/05,Messina,Sampdoria,1,4,0,0,2.68,2.63
02/10/05,Milan,Reggina,2,1,0,0,1.17,13.77
02/10/05,Palermo,Empoli,2,2,0,0,1.51,6.61
02/10/05,Roma,Siena,2,3,0,1,1.48,6.77
15/10/05,Juventus,Messina,1,0,0,0,1.18,13.23
15/10/05,Siena,Udinese,2,3,0,1,2.62,2.66
16/10/05,Ascoli,Sampdoria,2,1,0,0,3.32,2.17
16/10/05,Cagliari,Milan,0,2,0,0,6.22,1.55
16/10/05,Empoli,Roma,1,0,1,0,3.3,2.14
16/10/05,Inter,Livorno,5,0,0,1,1.26,10.35
16/10/05,Lazio,Fiorentina,1,0,0,0,2.54,2.69
16/10/05,Palermo,Chievo,2,2,1,0,1.69,5.3
16/10/05,Parma,Treviso,1,1,0,0,1.65,5.79
16/10/05,Reggina,Lecce,2,0,0,1,2.16,3.35
22/10/05,Fiorentina,Parma,4,1,0,0,1.51,6.29
22/10/05,Messina,Ascoli,1,1,1,1,1.92,3.99
23/10/05,Chievo,Cagliari,2,1,0,0,1.72,4.96
23/10/05,Lecce,Juventus,0,3,0,0,6.84,1.47
23/10/05,Livorno,Reggina,1,0,1,1,1.84,4.34
23/10/05,Milan,Palermo,2,1,0,0,1.36,8.2
23/10/05,Roma,Lazio,1,1,0,0,2.35,2.97
23/10/05,Sampdoria,Siena,3,3,1,0,1.67,5.19
23/10/05,Treviso,Empoli,1,2,0,0,2.3,3.1
23/10/05,Udinese,Inter,0,1,0,0,3.36,2.11
26/10/05,Ascoli,Udinese,1,1,0,0,3.38,2.11
26/10/05,Cagliari,Livorno,1,1,0,0,2.27,3.13
26/10/05,Empoli,Milan,1,3,0,0,6.25,1.54
26/10/05,Inter,Roma,2,3,1,1,1.58,5.7
26/10/05,Juventus,Sampdoria,2,0,0,0,1.38,8.19
26/10/05,Lazio,Chievo,2,2,0,0,1.89,3.96
26/10/05,Palermo,Lecce,3,0,1,0,1.52,6.36
26/10/05,Parma,Messina,1,1,0,0,1.89,4.04
26/10/05,Reggina,Treviso,1,2,0,0,1.76,4.64
26/10/05,Siena,Fiorentina,0,2,0,0,2.83,2.39
29/10/05,Milan,Juventus,3,1,0,0,2.37,3.02
29/10/05,Sampdoria,Inter,2,2,0,0,3.16,2.19
30/10/05,Chievo,Empoli,2,2,0,0,1.82,4.45
30/10/05,Fiorentina,Cagliari,2,1,0,2,1.36,8.36
30/10/05,Lecce,Messina,0,2,0,0,2.08,3.52
30/10/05,Livorno,Parma,2,0,0,0,1.81,4.35
30/10/05,Reggina,Lazio,1,0,0,0,2.6,2.65
